FNFNUM,GENUS,SPECIES,TAXON
243,Cephalotaxus,wilsoniana,Cephalotaxus wilsoniana
244,Ceratonia,siliqua,Ceratonia siliqua
1489,Ceriops,decandra,Ceriops decandra
245,Chaenomeles,lagenaria,Chaenomeles lagenaria
1412,Chaenomeles,speciosa,Chaenomeles speciosa
1713,Chamaecrista,greggii,Chamaecrista greggii
1852,Chamaecytisus,albus,Chamaecytisus albus
1853,Chamaecytisus,eriocarpus,Chamaecytisus eriocarpus
1854,Chamaecytisus,hirsutus,Chamaecytisus hirsutus
1855,Chamaecytisus,ratisbonensis,Chamaecytisus ratisbonensis
1856,Chamaecytisus,smyrnaeus,Chamaecytisus smyrnaeus
1857,Chamaecytisus,supinus,Chamaecytisus supinus
2128,Chamaelirium,luteum,Chamaelirium luteum
246,Chamaemelum,nobile,Chamaemelum nobile
1858,Chamaespartium,sagittale,Chamaespartium sagittale
1859,Chamaespartium,tridentatum,Chamaespartium tridentatum
247,Chamaesyce,hypericifolia,Chamaesyce hypericifolia
1299,Chamissoa,altissima,Chamissoa altissima
248,Chelidonium,majus,Chelidonium majus
249,Chenopodium,album,Chenopodium album
250,Chenopodium,ambrosioides,Chenopodium ambrosioides
2129,Chenopodium,quinoa,Chenopodium quinoa
251,Chimaphila,umbellata,Chimaphila umbellata
1300,Chiococca,alba,Chiococca alba
252,Chondrodendron,tomentosum,Chondrodendron tomentosum
253,Chondrus,crispus,Chondrus crispus
1860,Chronanthus,biflorus,Chronanthus biflorus
254,Chrysanthemum,balsamita,Chrysanthemum balsamita
255,Chrysanthemum,cinerariifolium,Chrysanthemum cinerariifolium
256,Chrysanthemum,coronarium,Chrysanthemum coronarium
1148,Chrysanthemum,x morifolium,Chrysanthemum x morifolium
257,Chrysanthemum,parthenium,Chrysanthemum parthenium
1220,Chrysobalanus,icaco,Chrysobalanus icaco
1221,Chrysophyllum,cainito,Chrysophyllum cainito
258,Cicer,arietinum,Cicer arietinum
259,Cichorium,endivia,Cichorium endivia
260,Cichorium,intybus,Cichorium intybus
261,Cicuta,maculata,Cicuta maculata
262,Cimicifuga,dahurica,Cimicifuga dahurica
263,Cimicifuga,racemosa,Cimicifuga racemosa
264,Cinchona,spp,Cinchona spp
265,Cinnamomum,aromaticum,Cinnamomum aromaticum
266,Cinnamomum,burmannii,Cinnamomum burmannii
267,Cinnamomum,camphora,Cinnamomum camphora
1344,Cinnamomum,glaucescens,Cinnamomum glaucescens
1345,Cinnamomum,impressicostatum,Cinnamomum impressicostatum
1346,Cinnamomum,iners,Cinnamomum iners
1347,Cinnamomum,javanicum,Cinnamomum javanicum
1348,Cinnamomum,mollissimum,Cinnamomum mollissimum
1349,Cinnamomum,porrectum,Cinnamomum porrectum
1350,Cinnamomum,pubescens,Cinnamomum pubescens
268,Cinnamomum,sieboldii,Cinnamomum sieboldii
1413,Cinnamomum,sulphuratum,Cinnamomum sulphuratum
269,Cinnamomum,verum,Cinnamomum verum
270,Cissampelos,pareira,Cissampelos pareira
1301,Cissus,verticillata,Cissus verticillata
271,Cistanche,salsa,Cistanche salsa
272,Cistus,ladaniferus,Cistus ladaniferus
1490,Cistus,laurifolius,Cistus laurifolius
1351,Citharexylum,subserratum,Citharexylum subserratum
273,Citrullus,colocynthis,Citrullus colocynthis
